odds,Date,home_team,away_team,Game,Round,Goals,Behinds,Points,Margin,Venue,Opposition,Opposition Goals,Opposition Behinds,Opposition Points,odds_away,Goals_away,Behinds_away,Margin_away
26.5051,23/07/2011,Gold Coast,Collingwood,13900,18,11,9,75,-54,Carrara,Collingwood,19,15,129,1.0344,19,15,54
1.1626,23/07/2011,North Melbourne,Brisbane,13898,18,17,20,122,45,Docklands,Brisbane,11,11,77,6.9232,11,11,-45
1.5856,23/07/2011,Sydney,Western Bulldogs,13897,18,16,18,114,39,S.C.G.,Western Bulldogs,11,9,75,2.6938,11,9,-39
2.9875,24/07/2011,Fremantle,West Coast,13903,18,9,10,64,-1,Subiaco,West Coast,8,17,65,1.4981,8,17,1
1.0814,24/07/2011,Geelong,Richmond,13901,18,17,11,113,62,Docklands,Richmond,7,9,51,13.2308,7,9,-62
4.8666,24/07/2011,Melbourne,Hawthorn,13902,18,12,6,78,-54,M.C.G.,Hawthorn,20,12,132,1.2553,20,12,54
3.9422,29/07/2011,North Melbourne,Carlton,13904,19,9,8,62,-18,Docklands,Carlton,11,14,80,1.3358,11,14,18
2.6047,30/07/2011,Fremantle,Hawthorn,13908,19,6,8,44,-51,Subiaco,Hawthorn,13,17,95,1.6158,13,17,51
1.0794,30/07/2011,Geelong,Melbourne,13906,19,37,11,233,186,Kardinia Park,Melbourne,7,5,47,13.2084,7,5,-186
160,30/07/2011,Gold Coast,St Kilda,13907,19,6,18,54,-20,Carrara,St Kilda,10,14,74,1.0221,10,14,20
2.5258,30/07/2011,Western Bulldogs,West Coast,13905,19,15,5,95,-8,Docklands,West Coast,15,13,103,1.6479,15,13,8
1.6378,31/07/2011,Adelaide,Port Adelaide,13910,19,16,15,111,32,Football Park,Port Adelaide,11,13,79,2.5487,11,13,-32
1.0737,31/07/2011,Collingwood,Essendon,13909,19,25,16,166,74,M.C.G.,Essendon,14,8,92,13.88,14,8,-74
1.4002,13/08/2011,Brisbane,Gold Coast,13923,21,18,15,123,62,Gabba,Gold Coast,8,13,61,3.4534,8,13,-62
3.0652,13/08/2011,Fremantle,Carlton,13921,21,12,13,85,-30,Subiaco,Carlton,16,19,115,1.475,16,19,30
1.0301,13/08/2011,Hawthorn,Port Adelaide,13920,21,31,11,197,165,M.C.G.,Port Adelaide,5,2,32,33.0875,5,2,-165
2.4928,13/08/2011,Western Bulldogs,Essendon,13922,21,15,11,101,-49,Docklands,Essendon,23,12,150,1.6637,23,12,49
12.509,14/08/2011,Adelaide,Geelong,13926,21,12,13,85,-11,Football Park,Geelong,14,12,96,1.0774,14,12,11
5.6215,14/08/2011,Melbourne,West Coast,13924,21,9,8,62,-48,Docklands,West Coast,16,14,110,1.2072,16,14,48
4.0312,14/08/2011,Richmond,Sydney,13925,21,14,15,99,43,M.C.G.,Sydney,7,14,56,1.3248,7,14,-43
2.6876,19/08/2011,Carlton,Hawthorn,13927,22,8,18,66,-12,Docklands,Hawthorn,10,18,78,1.584,10,18,12
1.0298,20/08/2011,Collingwood,Brisbane,13930,22,14,18,102,18,M.C.G.,Brisbane,13,6,84,31.005,13,6,-18
5.5321,20/08/2011,Gold Coast,Adelaide,13928,22,9,10,64,-61,Carrara,Adelaide,18,17,125,1.2155,18,17,61
1.3921,20/08/2011,North Melbourne,Fremantle,13931,22,21,17,143,98,Docklands,Fremantle,6,9,45,3.5094,6,9,-98
1.2259,20/08/2011,West Coast,Essendon,13929,22,20,14,134,57,Subiaco,Essendon,11,11,77,5.3372,11,11,-57
2.254,21/08/2011,Melbourne,Richmond,13934,22,17,8,110,-7,M.C.G.,Richmond,17,15,117,1.7807,17,15,7
4.8206,21/08/2011,Port Adelaide,Western Bulldogs,13933,22,15,7,97,-60,Football Park,Western Bulldogs,24,13,157,1.2566,24,13,60
2.4928,21/08/2011,Sydney,St Kilda,13932,22,10,23,83,15,Stadium Australia,St Kilda,10,8,68,1.668,10,8,-15
24.3858,26/08/2011,Fremantle,Collingwood,13935,23,8,4,52,-80,Subiaco,Collingwood,20,12,132,1.0401,20,12,80
4.2149,27/08/2011,Brisbane,West Coast,13939,23,11,15,81,-8,Gabba,West Coast,13,11,89,1.299,13,11,8
