date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2012-05-20,69,2012,8,Subiaco,West Coast,St Kilda,1,30,1,79.5,63.5,1690.803446937863,1591.505264599689
2012-05-20,70,2012,8,Docklands,Adelaide,Carlton,0,69,1,81.5,67.0,1499.5313329417368,1623.1631291060116
2012-05-25,71,2012,9,Docklands,Geelong,Western Bulldogs,0,20,1,81.0,77.5,1685.6649263839786,1480.3325136282754
2012-05-26,72,2012,9,M.C.G.,Richmond,Hawthorn,1,62,1,70.0,72.0,1391.9840808837982,1648.6149384551143
2012-05-26,73,2012,9,Football Park,Adelaide,Collingwood,1,-26,0,72.5,83.5,1534.6545132089939,1762.1700260270188
2012-05-26,74,2012,9,Carrara,Port Adelaide Power,Gold Coast,0,48,1,75.0,68.5,1318.225389768939,1135.142664424943
2012-05-26,75,2012,9,Sydney Showground,Essendon,GWS,0,66,1,81.5,72.5,1548.134113833804,1162.6871359096854
2012-05-26,76,2012,9,Docklands,St Kilda,Sydney,1,28,1,76.5,62.0,1620.6792766374865,1559.3090801517817
2012-05-27,77,2012,9,Subiaco,West Coast,Fremantle,1,48,1,87.0,69.0,1531.6294349000657,1401.8987571490727
2012-05-27,78,2012,9,Docklands,North Melbourne,Brisbane,1,16,1,78.5,69.5,1483.328068233138,1328.263749405157
2012-05-27,79,2012,9,M.C.G.,Carlton,Melbourne,1,58,1,85.0,71.5,1563.0399488387545,1289.2413821599923
2012-06-01,80,2012,10,Docklands,St Kilda,Richmond,1,-8,0,74.5,75.5,1633.0569288687777,1416.4089496472482
2012-06-02,81,2012,10,Kardinia Park,GWS,Geelong,0,-65,0,68.5,73.0,1134.7449185175697,1862.7057724318197
2012-06-02,82,2012,10,Football Park,Port Adelaide Power,Carlton,1,54,1,71.5,68.5,1340.979645596961,1568.180356732257
2012-06-02,83,2012,10,Subiaco,Adelaide,Fremantle,0,29,1,71.5,73.5,1513.2783242591327,1562.2531215466215
2012-06-02,84,2012,10,M.C.G.,Melbourne,Essendon,0,6,1,88.5,63.5,1284.1009742664899,1551.0763312259196
2012-06-02,85,2012,10,York Park,North Melbourne,Hawthorn,0,-115,0,60.5,88.5,1452.0451394589063,1749.1900696916643
2012-06-03,86,2012,10,S.C.G.,Sydney,Western Bulldogs,1,92,1,82.5,68.5,1571.9314279204905,1473.2916675804343
